Latitude,Longitude,Time
23.5064233333,87.3139966667,16:59:54
23.506445,87.3138833333,16:59:55
23.50646,87.3137683333,16:59:56
23.5064816667,87.313655,16:59:57
23.5065016667,87.3135566667,16:59:58
23.5065266667,87.3134433333,16:59:59
23.50655,87.31333,17:00:00
23.50657,87.313215,17:00:01
23.506595,87.3131016667,17:00:02
23.50662,87.3129716667,17:00:03
23.50664,87.3128566667,17:00:04
23.506665,87.3127433333,17:00:05
23.506685,87.31263,17:00:06
23.5067083333,87.312515,17:00:07
23.50673,87.3124016667,17:00:08
23.50675,87.3122883333,17:00:09
23.50677,87.3121733333,17:00:10
23.506795,87.3120766667,17:00:11
23.50681,87.3119616667,17:00:12
23.5068316667,87.311865,17:00:13
23.5068516667,87.3117833333,17:00:14
23.5068683333,87.311685,17:00:15
23.5068883333,87.3116033333,17:00:16
23.506905,87.3115233333,17:00:17
23.50692,87.3114416667,17:00:18
23.5069333333,87.3113766667,17:00:19
23.506945,87.3113116667,17:00:20
23.5069533333,87.3112466667,17:00:21
23.506965,87.3111966667,17:00:22
23.5069733333,87.3111483333,17:00:23
23.5069783333,87.3111,17:00:24
23.506985,87.3110666667,17:00:25
23.50699,87.3110183333,17:00:26
23.5069933333,87.310985,17:00:27
23.5069983333,87.3109533333,17:00:28
23.5070016667,87.3109366667,17:00:29
23.5070066667,87.3109033333,17:00:30
23.50701,87.3108883333,17:00:31
23.5070133333,87.3108716667,17:00:32
23.5070183333,87.3108716667,17:00:33
23.5070183333,87.3108716667,17:00:34
23.5070183333,87.3108716667,17:00:35
23.5070183333,87.3108716667,17:00:36
23.5070183333,87.3108716667,17:00:37
23.5070183333,87.3108716667,17:00:38
23.5070183333,87.3108716667,17:00:39
23.5070183333,87.3108716667,17:00:40
23.5070216667,87.310855,17:00:41
23.50703,87.3108233333,17:00:42
23.5070433333,87.3107733333,17:00:43
23.50705,87.310725,17:00:44
23.5070666667,87.3106766667,17:00:45
23.50708,87.3106116667,17:00:46
23.5070916667,87.3105616667,17:00:47
23.5071033333,87.3104966667,17:00:48
23.5071116667,87.3104316667,17:00:49
23.50712,87.3103833333,17:00:50
23.5071316667,87.310335,17:00:51
23.507145,87.310285,17:00:52
23.5071566667,87.31022,17:00:53
23.5071683333,87.310155,17:00:54
23.5071766667,87.31009,17:00:55
23.5071816667,87.3100416667,17:00:56
23.5071733333,87.3099766667,17:00:57
23.5071516667,87.3099283333,17:00:58
23.5071233333,87.3098783333,17:00:59
23.5070866667,87.30983,17:01:00
23.5070433333,87.3097816667,17:01:01
23.5069933333,87.3097483333,17:01:02
23.5069416667,87.3097166667,17:01:03
23.506875,87.3096666667,17:01:04
23.50681,87.309635,17:01:05
23.506745,87.3096016667,17:01:06
23.5066766667,87.30957,17:01:07
23.5066066667,87.30952,17:01:08
23.5065333333,87.3094716667,17:01:09
23.50646,87.30944,17:01:10
23.5063883333,87.30939,17:01:11
23.506315,87.3093416667,17:01:12
23.506245,87.3092933333,17:01:13
23.5061683333,87.30926,17:01:14
23.5060983333,87.3092116667,17:01:15
23.5060383333,87.3091633333,17:01:16
23.50598,87.30913,17:01:17
23.5059283333,87.3090966667,17:01:18
23.505875,87.309065,17:01:19
23.5058183333,87.3090316667,17:01:20
23.5057566667,87.309,17:01:21
23.5056916667,87.3089666667,17:01:22
23.5056233333,87.308935,17:01:23
23.5055566667,87.3088866667,17:01:24
23.505485,87.3088366667,17:01:25
23.5054066667,87.308805,17:01:26
23.50533,87.308755,17:01:27
23.5052516667,87.3087066667,17:01:28
23.505175,87.3086583333,17:01:29
23.5050983333,87.308625,17:01:30
23.5050116667,87.3085766667,17:01:31
23.504935,87.3085283333,17:01:32
23.5048583333,87.3084783333,17:01:33
23.50478,87.30843,17:01:34
23.5047033333,87.3083816667,17:01:35
23.504625,87.3083333333,17:01:36
23.5045516667,87.3082833333,17:01:37
23.5044783333,87.3082516667,17:01:38
23.5044133333,87.3082016667,17:01:39
23.504345,87.30817,17:01:40
23.50428,87.3081216667,17:01:41
23.504215,87.3080883333,17:01:42
23.5041533333,87.30804,17:01:43
23.5040933333,87.3080066667,17:01:44
23.5040266667,87.307975,17:01:45
